GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
"Population","Share","Children of Immigrants, Share",0,"Akron, OH",10420,.04154617,.03642915,.05003891,.0633997,.06235195,.06884822,.07552946,.06563712
"Population","Share","Children of Immigrants, Share",0,"Albany-Schenectady-Troy, NY",10580,.09304225,.10210077,.10761159,.11339696,.11755374,.11719891,.11358834,.12702353
"Population","Share","Children of Immigrants, Share",0,"Albuquerque, NM",10740,.195006,.20541096,.19802971,.21359859,.22376017,.20929544,.19960243,.22932126
"Population","Share","Children of Immigrants, Share",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.1281683,.14651559,.151498,.1453715,.1469488,.17554381,.16725802,.13706875
"Population","Share","Children of Immigrants, Share",0,"Atlanta-Sandy Springs-Roswell, GA",12060,.2020207,.20808746,.21968123,.23391847,.24162108,.24078467,.24581842,.25229403
"Population","Share","Children of Immigrants, Share",0,"Augusta-Richmond County, GA-SC",12260,.05473499,.06088997,.05242274,.04997849,.06399062,.07116305,.07443998,.0775335
"Population","Share","Children of Immigrants, Share",0,"Austin-Round Rock, TX",12420,.26067546,.27046487,.27166596,.2845234,.29219085,.29355735,.30179474,.30340067
"Population","Share","Children of Immigrants, Share",0,"Bakersfield, CA",12540,.39670232,.408871,.39914477,.41153497,.42417005,.41587943,.42897856,.43539712
"Population","Share","Children of Immigrants, Share",0,"Baltimore-Columbia-Towson, MD",12580,.10600562,.11646242,.12706877,.13786933,.15408185,.15946734,.15588368,.15501709
"Population","Share","Children of Immigrants, Share",0,"Baton Rouge, LA",12940,.04273024,.0448227,.04607378,.04647746,.04647889,.04902346,.06091961,.06472373
"Population","Share","Children of Immigrants, Share",0,"Birmingham-Hoover, AL",13820,.05196372,.05205263,.05806829,.07559122,.08814098,.08774467,.08613133,.07484446
"Population","Share","Children of Immigrants, Share",0,"Boise City, ID",14260,.13080896,.13881056,.15582262,.15693119,.15154637,.15099461,.14891867,.14450112
"Population","Share","Children of Immigrants, Share",0,"Boston-Cambridge-Newton, MA-NH",14460,.2302697,.23265941,.24377766,.25282556,.26259533,.26775575,.27187511,.2872996
"Population","Share","Children of Immigrants, Share",0,"Bridgeport-Stamford-Norwalk, CT",14860,.27664241,.29877076,.324074,.32452002,.31825215,.32639736,.32434225,.32494432
"Population","Share","Children of Immigrants, Share",0,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,.06232745,.0672791,.06355105,.07704037,.09085023,.09434974,.09203537,.0971912
"Population","Share","Children of Immigrants, Share",0,"Cape Coral-Fort Myers, FL",15980,.27514479,.28781047,.29437733,.29374093,.30337381,.31060302,.28766307,.29341477
"Population","Share","Children of Immigrants, Share",0,"Charleston-North Charleston, SC",16700,.06322504,.07294673,.07617966,.07888113,.10060938,.09673493,.07724239,.0787508
"Population","Share","Children of Immigrants, Share",0,"Charlotte-Concord-Gastonia, NC-SC",16740,.13559267,.14160691,.15815428,.17931885,.17639606,.17017819,.17951815,.1931655
"Population","Share","Children of Immigrants, Share",0,"Chattanooga, TN-GA",16860,.05199051,.04852512,.06633812,.08098922,.0762938,.0746273,.07413394,.0685958
"Population","Share","Children of Immigrants, Share",0,"Chicago-Naperville-Elgin, IL-IN-WI",16980,.28956622,.29780835,.29803437,.30436322,.30926961,.31803799,.323569,.32334769
"Population","Share","Children of Immigrants, Share",0,"Cincinnati, OH-KY-IN",17140,.05323218,.05378924,.05142153,.06246386,.07291554,.06790047,.06763681,.07475325
"Population","Share","Children of Immigrants, Share",0,"Cleveland-Elyria, OH",17460,.07059988,.07351694,.07921956,.08223253,.07938027,.08189041,.08048533,.07609187
"Population","Share","Children of Immigrants, Share",0,"Colorado Springs, CO",17820,.13238399,.12324944,.12536032,.13332494,.13616531,.1341275,.12975441,.13384467
"Population","Share","Children of Immigrants, Share",0,"Columbia, SC",17900,.05716826,.07191317,.07857849,.07886367,.07935669,.07471539,.08218554,.08302993
"Population","Share","Children of Immigrants, Share",0,"Columbus, OH",18140,.09047343,.09410753,.10248271,.10984348,.12219609,.12257706,.12958634,.14589144
"Population","Share","Children of Immigrants, Share",0,"Dallas-Fort Worth-Arlington, TX",19100,.31941289,.32406878,.32805616,.34268427,.34989846,.34924886,.35518536,.35656103
"Population","Share","Children of Immigrants, Share",0,"Dayton, OH",19380,.03835426,.03653929,.05248125,.05959012,.06656387,.06624362,.05418557,.0592323
"Population","Share","Children of Immigrants, Share",0,"Deltona-Daytona Beach-Ormond Beach, FL",19660,.12211999,.13926636,.13680032,.13204238,.13254656,.14396347,.13913973,.12888141
